Day,TempMax
2002-02-19,27.41164551
2002-02-20,30.45070801
2002-02-21,32.24611816
2002-02-22,31.11477051
2002-02-23,19.49904785
2002-02-24,23.35109863
2002-02-25,20.51317749
2002-02-26,23.03783569
2002-02-27,22.11809692
2002-02-28,23.31365356
2002-03-01,20.30947266
2002-03-02,20.47780762
2002-03-03,20.08309326
2002-03-04,20.00237427
2002-03-05,16.75588379
2002-03-06,17.5961853
2002-03-07,18.46962891
2002-03-08,21.68340454
2002-03-09,23.3789917
2002-03-10,23.91359863
2002-03-11,24.89367065
2002-03-12,25.11742554
2002-03-13,26.24434814
2002-03-14,29.05504761
2002-03-15,24.69454346
2002-03-16,21.8428894
2002-03-17,23.60027466
2002-03-18,28.36272583
2002-03-19,29.69866333
2002-03-20,28.73464355
2002-03-21,28.98525391
2002-03-22,29.4494873
2002-03-23,29.25084839
2002-03-24,27.99080811
2002-03-25,29.3996521
2002-03-26,30.27904663
2002-03-27,25.61208496
2002-03-28,27.8243042
2002-03-29,26.09893188
2002-03-30,26.23748169
2002-03-31,25.43209229
2002-04-01,25.98964844
2002-04-02,20.66939697
2002-04-03,22.2607666
2002-04-04,22.53795776
2002-04-05,24.940271
2002-04-06,25.76882324
2002-04-07,27.3638855
2002-04-08,29.70003662
2002-04-09,32.04412231
2002-04-10,33.93114624
2002-04-11,34.06356201
2002-04-12,26.43450317
2002-04-13,25.05666504
2002-04-14,24.42901001
2002-04-15,25.1279541
2002-04-16,25.84487305
2002-04-17,30.51421509
2002-04-18,32.91164551
2002-04-19,34.20058594
2002-04-20,38.76223145
2002-04-21,37.34627686
2002-04-22,33.46355591
2002-04-23,34.22521362
2002-04-24,30.28832397
2002-04-25,29.30239258
2002-04-26,31.11647949
2002-04-27,34.19542847
2002-04-28,31.83999023
2002-04-29,34.53041992
2002-04-30,38.64669189
2002-05-01,33.96114502
2002-05-02,31.7277771
2002-05-03,30.35076294
2002-05-04,31.72231445
2002-05-05,36.19841919
2002-05-06,40.09310303
2002-05-07,34.62627563
2002-05-08,34.9734436
